"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"57","Chinook","Vancouver Island & Mainland Inlets","CK-83",334,227.70652173913,227.70652173913,227.70652173913,303.766666666667,303.766666666667,303.766666666667,45,1,1
"58","Chinook","Fraser","CK-9",309,269.638888888889,269.638888888889,269.638888888889,305.824324324324,305.824324324324,305.824324324324,36,1,1
"59","Chinook","HaidaGwaii","CK-9002",NA,270.166666666667,270.166666666667,270.166666666667,297,297,297,6,1,2
"60","Chinook","Fraser","CK-9004",NA,288,288,288,319,319,308.333333333333,1,2,2.5
"61","Chinook","Vancouver Island & Mainland Inlets","CK-9005",NA,319,319,319,329,329,329,1,1,3
"62","Chinook","Fraser","CK-9006",NA,133.434782608696,133.434782608696,145.842391304348,271.5,271.5,235.402173913043,35,2,1
"63","Chinook","Vancouver Island & Mainland Inlets","CK-9007",NA,223.833333333333,223.833333333333,248.055555555556,320.5,320.5,297.537593984962,22,4,1
"64","Chinook","Fraser","CK-9008",NA,289.45,289.45,289.45,343.8,343.8,343.8,20,1,3
"65","Chum","Vancouver Island & Mainland Inlets","CM-10",978,274.25,276.868421052632,284.97556528378,334,327.095238095238,320.977530853331,4270,174,1
"66","Chum","Vancouver Island & Mainland Inlets","CM-11",977,270.652173913043,276.8,281.714741638476,311.869565217391,310.472222222222,304.504886491061,1467,62,1
"67","Chum","Central Coast","CM-12",500,239.111111111111,239.111111111111,252.960592202757,314.5,305.333333333333,292.775696383671,265,11,1
"68","Chum","Central Coast","CM-13",501,227.142857142857,227.424528301887,245.608233728036,301.452380952381,301.452380952381,281.97622362071,308,14,1
"69","Chum","Central Coast","CM-14",502,284.057142857143,284.057142857143,284.057142857143,329.314285714286,329.314285714286,329.314285714286,35,1,1
"70","Chum","Central Coast","CM-15",503,228.204918032787,232.318181818182,250.02713795873,300.358974358974,296.679487179487,287.571215703573,1579,64,1
"71","Chum","Central Coast","CM-16",504,204.576923076923,210.392857142857,222.087497745327,299.040816326531,278.464285714286,268.255421162423,576,28,1
"72","Chum","Central Coast","CM-17",505,259.3,259.3,259.3,311.3,311.3,311.3,10,1,3
"73","Chum","Central Coast","CM-18",506,232.903846153846,240.291666666667,247.80986547293,293.5,288,278.186137889122,3475,138,1
"74","Chum","Central Coast","CM-19",507,219.7,220.465517241379,239.274729646534,292.5,286.43023255814,279.144554594344,482,14,1
"75","Chum","Fraser","CM-2",701,266.189189189189,280.432432432432,294.726534505977,351.3125,344.384615384615,288.167951820148,1501,95,1
"76","Chum","Central Coast","CM-20",508,206,210.388888888889,226.753309546985,272.660714285714,270.052631578947,261.997979869948,2137,62,1
"77","Chum","HaidaGwaii","CM-21",801,257.913461538462,261.172727272727,270.158396779446,309,303.41935483871,298.342627215825,2886,94,1
"78","Chum","HaidaGwaii","CM-22",804,248.532258064516,250.796296296296,260.558478808541,304.762295081967,301.283333333333,295.240271599057,1178,40,1
"79","Chum","HaidaGwaii","CM-23",803,252.878378378378,253.323529411765,261.71985939911,297,294.366071428571,290.6868889525,1565,59,1
"80","Chum","HaidaGwaii","CM-24",802,271.34375,271.34375,278.598232975358,316.625,316.625,302.294855388033,256,11,1
"81","Chum","HaidaGwaii","CM-25",800,240.948717948718,240.948717948718,240.948717948718,270.564102564103,270.564102564103,270.564102564103,39,1,1
"82","Chum","Skeena","CM-26",220,217.5,232.8,245.65931242247,298,288,272.895478156175,107,21,1
"83","Chum","Skeena","CM-27",211,223.325,227.95652173913,234.808050531581,276.2,274.972972972973,265.140602950272,503,33,1
"84","Chum","Skeena","CM-28",214,182,182,230.221142180127,267.595238095238,267.595238095238,258.618341362149,119,10,1
"85","Chum","Vancouver Island & Mainland Inlets","CM-3",905,284.875,288.277777777778,302.406619136356,354.777777777778,347.2,324.536886758114,774,62,1
"86","Chum","Nass","CM-30",404,217.5,220.094339622642,228.176316184555,273,266.690909090909,258.427260833397,271,18,1
"87","Chum","Nass","CM-31",405,218.142857142857,227.7,243.625864641784,324,311.3,273.383392534875,164,19,1
"88","Chum","Nass","CM-32",406,209.489583333333,209.489583333333,218.635584129337,265.7,265.555555555556,254.857116122107,344,13,1
"89","Chum","Vancouver Island & Mainland Inlets","CM-4",904,263.269230769231,276.315789473684,295.069806858962,344.54054054054,341.269230769231,320.380000245769,3339,143,1
"90","Chum","Yukon","CM-46",1217,NA,NA,NA,NA,NA,NA,0,0,3
"91","Chum","Vancouver Island & Mainland Inlets","CM-5",903,249.5,261.01724137931,278.315458999488,334.25,321.931818181818,305.923172037445,476,21,1
"92","Chum","Vancouver Island & Mainland Inlets","CM-6",902,260.666666666667,266.0375,281.967210205895,334.125,323.428571428571,317.619758938763,976,40,1
"93","Chum","Vancouver Island & Mainland Inlets","CM-7",901,247.732558139535,247.732558139535,270.710102216098,330.295454545455,330.295454545455,319.484919003868,194,6,1
"94","Chum","Vancouver Island & Mainland Inlets","CM-8",900,233.928571428571,243.909090909091,258.664118161673,326.5,319.2,299.891548136774,1076,53,1
"95","Chum","Vancouver Island & Mainland Inlets","CM-9",979,217.670454545455,217.670454545455,255.715036513139,317.403225806452,317.403225806452,302.296861987942,152,5,1
"96","Chum","Fraser","CM-9004",NA,266.588235294118,266.588235294118,281.712455994103,339,329,300.929020999143,161,17,1
"97","Coho","Fraser","CO-1",906,288.5,288.5,288.5,349.5,349.5,175.416666666667,1,3,2
"98","Coho","Vancouver Island & Mainland Inlets","CO-10",907,201.128205128205,235.974358974359,288.338893611277,355.75,345.8,218.631419221135,734,63,1
"99","Coho","Vancouver Island & Mainland Inlets","CO-11",908,222.7,247.04,285.128627838206,349.928571428571,348.8,318.178979852017,780,52,1
"100","Coho","Vancouver Island & Mainland Inlets","CO-12",909,230.05,244.4875,264.661742103387,335,323.464285714286,308.838201953676,2093,106,1
"101","Coho","Vancouver Island & Mainland Inlets","CO-13",910,271.537037037037,280.883720930233,303.728976688098,348.235294117647,342.425,281.545110270094,2613,102,1
"102","Coho","Vancouver Island & Mainland Inlets","CO-14",911,214.916666666667,227,260.800791309616,342.833333333333,339.5,315.730884437313,292,14,1
"103","Coho","Vancouver Island & Mainland Inlets","CO-15",912,252.058823529412,258,271.578580059614,329.4,318.75,293.124923272928,1074,72,1
"104","Coho","Vancouver Island & Mainland Inlets","CO-16",913,268.989361702128,271.6125,295.089118373613,349.4375,340,315.174167593418,479,26,1
"105","Coho","Vancouver Island & Mainland Inlets","CO-17",914,261.030303030303,271.040540540541,281.251922123475,353.777777777778,344.647058823529,320.979564183236,2101,104,1
"106","Coho","Vancouver Island & Mainland Inlets","CO-18",915,263.875,274.772727272727,288.006287005615,344,341.2,316.411411028538,602,42,1
"107","Coho","Vancouver Island & Mainland Inlets","CO-19",916,234.142857142857,234.142857142857,255.756644518272,319,317.513888888889,312.312269864341,111,4,1
"108","Coho","Central Coast","CO-20",516,237.5,258,265.679821428571,331.34,331.34,288.887922008547,136,11,1
"109","Coho","Central Coast","CO-21",517,251.322580645161,256.324324324324,272.176960017765,346.2,343.764705882353,323.527249996883,357,23,1
"110","Coho","Central Coast","CO-22",518,250.315789473684,250.346153846154,284.86109555155,352.25,349.5,297.389969241285,220,28,1
"111","Coho","HaidaGwaii","CO-23",807,261.833333333333,267.375,277.629183914755,325.19696969697,319.555555555556,309.772633505051,1932,109,1
"112","Coho","HaidaGwaii","CO-24",808,261.975,265.545454545455,275.330905948298,325,318.068181818182,307.379191453589,446,52,1
"113","Coho","HaidaGwaii","CO-25",809,255.878787878788,257.136363636364,270.443920436195,327.615384615385,319.541666666667,311.15008323482,600,27,1
"114","Coho","Central Coast","CO-26",519,242.058823529412,242.058823529412,253.8569925578,302.529411764706,302.529411764706,285.715400983961,168,12,1
"115","Coho","Central Coast","CO-27",520,230.571428571429,240.518518518519,251.677275886773,314.666666666667,304.75,290.874544836684,3163,168,1
